Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method
6.94E+12,BAKING CUPS 125 PCS, Household,Tin,5,6,5, No Tax, exclusive
8.08E+12,BARILLA  SPAGHETTI N.5 500G, Household,Tin,11,12,5, No Tax, exclusive
8.86E+12,BASIL SEED APRICOT, Household,Tin,5,5.5,5, No Tax, exclusive
8.86E+12,BASIL SEED BLUEBERRY, Household,Tin,5,5.5,5, No Tax, exclusive
8.86E+12,BASIL SEED COCKTAIL, Household,Tin,5,5.5,5, No Tax, exclusive
8.86E+12,BASIL SEED LYCHEE, Household,Tin,5,5.5,5, No Tax, exclusive
8.86E+12,BASIL SEED MANGO, Household,Tin,5,5.5,5, No Tax, exclusive
8.86E+12,BASIL SEED MELON, Household,Tin,5,5.5,5, No Tax, exclusive
8.86E+12,BASIL SEED ORANGE, Household,Tin,5,5.5,5, No Tax, exclusive
8.86E+12,BASIL SEED POMEGRANATE, Household,Tin,5,5.5,5, No Tax, exclusive
8.86E+12,BASIL SEED STRAWBERRY, Household,Tin,5,5.5,5, No Tax, exclusive
8.86E+12,BASIL SEED WATERMELON, Household,Tin,5,5.5,5, No Tax, exclusive
8.86E+12,BASIL SEED WHITE GRAPE, Household,Tin,5,5.5,5, No Tax, exclusive
5.02E+12,BATH FLUTERS, Household,Tin,6,6.5,5, No Tax, exclusive
4.02E+12,BEBIVITA TOMATO & HAM PASTA BAKE 220G, Household,Tin,7,8,5, No Tax, exclusive
6.03E+12,BEEF SAUSAGE, Household,Tin,14,14.5,5, No Tax, exclusive
6.03E+12,BEFF SAUSAGE, Household,Tin,13,14.5,5, No Tax, exclusive
5.41E+12,BEGRO GARDEN PEAS FINE 1KG, Household,Tin,18,19,5, No Tax, exclusive
5.41E+12,BEGRO MACEDOINE MIXED VEG 1KG, Household,Tin,16,17,5, No Tax, exclusive
60097,BEL AQUA 1.5 PCS, Household,Tin,2.5,3,5, No Tax, exclusive
60071,BEL AQUA 1.5L PCS, Household,Tin,2.5,3,5, No Tax, exclusive
6525743785,BEL AQUA 1.5LT BOX, Household,Tin,16,18,5, No Tax, exclusive
7.83E+13,BEL AQUA 330ML PACK, Household,Tin,8,9,5, No Tax, exclusive
345645678,BEL AQUA 500ML BOX, Household,Tin,17,18,5, No Tax, exclusive
60047,BEL AQUA 500ML PCS, Household,Tin,1,1.5,5, No Tax, exclusive
60142,BEL AQUA 500ML PK 15 SACHE, Household,Tin,11,12,5, No Tax, exclusive
60042,BEL AQUA 750ML PK 15, Household,Tin,9,10,5, No Tax, exclusive
60102,BEL AQUA BOTTLE 1.5 PK 6, Household,Tin,9,15,5, No Tax, exclusive
60068,BEL AQUA DISPENSER BOTTLE, Household,Tin,8,9,5, No Tax, exclusive
60078,BEL AQUA SPARKLING PREMIUM 330ML X12, Household,Tin,37,38,5, No Tax, exclusive
60079,BEL AQUA SPARKLING PREMIUM 750ML X12, Household,Tin,55,56,5, No Tax, exclusive
3.26E+12,BEL NORMANDE APPLE CRANBERRY WINE 750ML, Household,Tin,10,12,5, No Tax, exclusive
3.26E+12,BEL NORMANDE BLUE WINE 750ML, Household,Tin,10,12,5, No Tax, exclusive
3.10E+12,BEL NORMANDE SPARKLING APPLE 750ML, Household,Tin,10,12,5, No Tax, exclusive
3.10E+12,BEL NORMANDE SPARKLING RED GRAPE WINE 750ML, Household,Tin,10,12,5, No Tax, exclusive
5.05E+12,BEST IN APPLE JUICE 1LT, Household,Tin,10,11,5, No Tax, exclusive
5.03E+12,BEST IN BAKING POWDER 100G, Household,Tin,9,9.5,5, No Tax, exclusive
5.03E+12,BEST IN BICARBONATE OF SODA BLUE 100G, Household,Tin,7,8,5, No Tax, exclusive
5.03E+12,BEST IN BLACKCURRANT EXTRA JAM, Household,Tin,10,12,5, No Tax, exclusive
5.03E+12,BEST IN MIXED FRUIT JAM, Household,Tin,10,12,5, No Tax, exclusive
5.05E+12,BEST IN PLUM TOMATOES 400G, Household,Tin,5,5.5,5, No Tax, exclusive
5.03E+12,BEST IN RASPBERRY JAM, Household,Tin,12,14,5, No Tax, exclusive
5.03E+12,BEST IN STRAWBERRY EXTRA JAM, Household,Tin,12,14,5, No Tax, exclusive
5.03E+12,BEST IN SWEETCORN 340G, Household,Tin,7,8.5,5, No Tax, exclusive
5.05E+12,BEST ONE CHOPPED TOMATOES 400G, Household,Tin,4.5,5.5,5, No Tax, exclusive
5.05E+12,BEST ONE GARDEN PEAS 300G, Household,Tin,6,7,5, No Tax, exclusive
5.05E+12,BEST ONE GARDEN PEAS IN WATER 560G, Household,Tin,8,9,5, No Tax, exclusive
5.03E+12,BESTIN CURRY POWDER 25G, Household,Tin,5,6,5, No Tax, exclusive
5.05E+12,BEST-ONE SELF RAISING FLOUR 1.5KG, Household,Tin,15,16,5, No Tax, exclusive
5.03E+12,BESTT IN PINNEAPLE EXTRA JAM, Household,Tin,12,14,5, No Tax, exclusive
6.03E+12,BETA MALT 330ML, Household,Tin,2,2.5,5, No Tax, exclusive
6.18E+12,BF SOAP 290G, Household,Tin,4,4.5,5, No Tax, exclusive
3.09E+12,BIC COMFORT 2 SHAVING STICKS 5IN1, Household,Tin,6,7,5, No Tax, exclusive
3.09E+12,BIC MEGA LIGHTER MULTI, Household,Tin,15,16,5, No Tax, exclusive
3.09E+12,BIC SENSITIVE SHAVING STICKS 5IN1, Household,Tin,5,6,5, No Tax, exclusive
6.03E+12,BINE 20 5L, Household,Tin,42,43,5, No Tax, exclusive
8.69E+12,BINGO AUTOMAT 3KG, Household,Tin,45,50,5, No Tax, exclusive
8.69E+12,BINGO AUTOMAT COULOUR 5KG, Household,Tin,80,82,5, No Tax, exclusive
8.69E+12,BINGO MANUAL FOAM BOOSTER WHITE 3KG, Household,Tin,44,45,5, No Tax, exclusive
8.69E+12,BINGO OV SCOURING POWDER 500G, Household,Tin,5,6,5, No Tax, exclusive
8.69E+12,BINGO SOFT LAVANTA 2L, Household,Tin,26,26.5,5, No Tax, exclusive
8.69E+12,BINGO SOFT SENSITIVE 1L, Household,Tin,14,15,5, No Tax, exclusive
8.69E+12,BINGO SOFT SPRING FRESHNESS 1L, Household,Tin,14,15,5, No Tax, exclusive
8.69E+12,BINGO WINDOW CLEANER 500ML, Household,Tin,7,7.5,5, No Tax, exclusive
5.00E+12,BIRDS CUSTARD POWDER 300G, Household,Tin,9,10.5,5, No Tax, exclusive
5.06E+12,BIRTHDAY CANDLE MUSICALS, Household,Tin,15,16,5, No Tax, exclusive
4.10E+12,BITBURGER NON ALCOHOLIC BEER 330ML, Household,Tin,3.5,4,5, No Tax, exclusive
4.10E+12,BITBURGER NON ALCOHOLIC BEER 500ML, Household,Tin,5,6,5, No Tax, exclusive
6.00E+12,BLUE BAND ORIGINAL 250G, Household,Tin,3,5,5, No Tax, exclusive
6.00E+12,BLUE BAND ORIGINAL 450G, Household,Tin,5,6,5, No Tax, exclusive
6.03E+12,BLUE BAND SPREAD 450G, Household,Tin,4,5,5, No Tax, exclusive
5.01E+12,BLUE DRAGON LIGHT SOY  SAUCE 150ML, Household,Tin,0,0,5, No Tax, exclusive
5.01E+12,BLUE DRAGON LIGHT SOY SAUCE 150ML, Household,Tin,8.5,9,5, No Tax, exclusive
5.01E+12,BLUE DRAGON OYSTER SAUCE 150ML, Household,Tin,15,17,5, No Tax, exclusive
5.04E+12,BLUE SKIES MANGO N ORANGE, Household,Tin,6,7,5, No Tax, exclusive
5.02E+12,BODY SCRUB 200ML, Household,Tin,11,12,5, No Tax, exclusive
4.08E+12,BOLD 2 IN 1 5.33KG, Household,Tin,110,113,5, No Tax, exclusive
7.90E+12,BON BEEF LUNCHEON MEAT 400G, Household,Tin,6,7,5, No Tax, exclusive
6.03E+12,BORGER PEANUT SNACK, Household,Tin,9.5,10,5, No Tax, exclusive
8.41E+12,BORGES CIDER VINEGAR 250ML, Household,Tin,9,10,5, No Tax, exclusive
8.41E+12,BORGES CIDER VINEGAR 355ML, Household,Tin,11,12,5, No Tax, exclusive
8.41E+12,BORGES CLASSIC OLIVE OIL 125ML, Household,Tin,9,10,5, No Tax, exclusive
8.41E+12,BORGES CLASSIC OLIVE OIL 2L, Household,Tin,112,113,5, No Tax, exclusive
8.41E+12,BORGES CLASSIC OLIVE OIL 500ML, Household,Tin,33,34,5, No Tax, exclusive
8.41E+12,BORGES CLASSIC OLIVE OIL 750ML, Household,Tin,47,48,5, No Tax, exclusive
8.41E+12,BORGES EXTRA VIRGIN 500ML, Household,Tin,34,35,5, No Tax, exclusive
8.41E+12,BORGES EXTRA VIRGIN OLIVE OIL 2L, Household,Tin,115,116,5, No Tax, exclusive
8.41E+12,BORGES EXTRA VIRGIN OLIVE OIL 750ML, Household,Tin,48,49,5, No Tax, exclusive
6.04E+11,BOSS BAKER BEEF ROLL 50G, Household,Tin,0.9,1,5, No Tax, exclusive
40111216,BOUNTY CHOCOLATE  57G, Household,Tin,4,6,5, No Tax, exclusive
37000738909,BOUNTY TISSUE, Household,Tin,15,16,5, No Tax, exclusive
3.50E+12,BRETS AL ANCIENNE 125G, Household,Tin,10,11,5, No Tax, exclusive
3.50E+12,BRETS AL ANCIENNE 25G, Household,Tin,2.5,3,5, No Tax, exclusive
3.50E+12,BRETS AU COMTE 125G, Household,Tin,10,11,5, No Tax, exclusive
3.50E+12,BRETS CHEVRE & PIMENT 125G, Household,Tin,10,11,5, No Tax, exclusive
3.50E+12,BRETS CRAQUANTES 125G, Household,Tin,10,11,5, No Tax, exclusive
3.50E+12,BRETS INDIAN CURRY 125G, Household,Tin,10,11,5, No Tax, exclusive
3.50E+12,BRETS PAYSANNES 125G, Household,Tin,10,11,5, No Tax, exclusive
3.50E+12,BRETS PIZZA 25G, Household,Tin,2.5,3,5, No Tax, exclusive
3.50E+12,BRETS SAUCE BARBECUE 125G, Household,Tin,10,11,5, No Tax, exclusive
3.50E+12,BRETS SAUCE BARBECUE 25G, Household,Tin,2.5,3,5, No Tax, exclusive
3.50E+12,BRETS SEL & VINAIGRE 125G, Household,Tin,10,11,5, No Tax, exclusive
60177,BRIGHT CANDLES 8PCS, Household,Tin,4,4.5,5, No Tax, exclusive
8.90E+12,BRITANNIA WEAT RUSK 233G, Household,Tin,4,4.5,5, No Tax, exclusive
5.00E+12,BROWN & POLSON CORN FLOUR 500G, Household,Tin,16,17,5, No Tax, exclusive
6.03E+12,BROWN GOLD COCOA POWDER 400G, Household,Tin,15,17,5, No Tax, exclusive
4.34E+12,BRUSH AND RUBBISH COLLECTER 2IN1, Household,Tin,22,25,5, No Tax, exclusive
3.01E+12,BRUT AFTER SHAVE 100ML, Household,Tin,20,24,5, No Tax, exclusive
3.01E+12,BRUT MUSK DEODORANT 200ML, Household,Tin,16,17,5, No Tax, exclusive
8.72E+12,BRUT OCEANS DEODORANT 200ML, Household,Tin,16,17,5, No Tax, exclusive
8.70E+12,BULGURIUM WHEAT 1KG, Household,Tin,8,10,5, No Tax, exclusive
6.03E+12,BURGER  NUTS PCS, Household,Tin,0.9,1,5, No Tax, exclusive
60081,BURGER NUT PK, Household,Tin,9,10,5, No Tax, exclusive
41498202552,BURMANS TOMATOES KETCHUP 1.07KG, Household,Tin,17,18,5, No Tax, exclusive
6.05E+12,BUZYBEE HONEY 100% ORGANIC 250ML, Household,Tin,17,18,5, No Tax, exclusive
6.05E+12,BUZYBEE HONEY 100% ORGANIC 500G, Household,Tin,25,26,5, No Tax, exclusive
6.05E+12,BUZYBEE PURE HONEY 100% ORGANIC 1L, Household,Tin,42,43,5, No Tax, exclusive
6.05E+12,BUZYBEE PURE HONEY 100% ORGANIC 2L, Household,Tin,84,85,5, No Tax, exclusive
8.74E+11,"CA,MELION 3LED POWER TORCH", Household,Tin,11,12,5, No Tax, exclusive
7.62E+12,CADBURRY HEROES BOWLS 660G, Household,Tin,58,62,5, No Tax, exclusive
7.62E+12,CADBURRY HOT CHOCOLATE DRINK 30G, Household,Tin,0.8,1.2,5, No Tax, exclusive
72417148262,CADBURY CHOC CHIP COOKIES 150G, Household,Tin,7,8,5, No Tax, exclusive
7.62E+12,CADBURY DAIRY MILK CHOCOLATE 95G, Household,Tin,14,15,5, No Tax, exclusive
7.62E+12,CADBURY DAIRY MILK WHOLE NUT 200G, Household,Tin,22,23,5, No Tax, exclusive
7.62E+12,CADBURY DRINKING CHOCOLATE 250G, Household,Tin,15,20,5, No Tax, exclusive
72417147890,CADBURY SHORTIES 300G, Household,Tin,10,12,5, No Tax, exclusive
