Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
033844002237,Badia Ground Ginger 42.5g, Household,Tin,6,8,5, No Tax, exclusive,,,,,,,,
33844002176,Badia Ground nutmeg 56.7g, Household,Tin,10,12,5, No Tax, exclusive,,,,,,,,
033844001179,Badia jollof rice (793.8g), Household,Tin,35,40,5, No Tax, exclusive,,,,,,,,
033844001995,Badia jollof rice 163g, Household,Tin,10,14,5, No Tax, exclusive,,,,,,,,
033844000035,Badia onion powder 269.3G, Household,Tin,16,19,5, No Tax, exclusive,,,,,,,,
33844000066,Badia Onion Powder 78.0g, Household,Tin,5,8,5, No Tax, exclusive,,,,,,,,
033844005405,BADIA OREGANO SPICE 155.6G, Household,Tin,20,21,5, No Tax, exclusive,,,,,,,,
033844005412,Badia paprika 453.6G, Household,Tin,43,44,5, No Tax, exclusive,,,,,,,,
033844000110,Badia paprika 56.7g, Household,Tin,12,13,5, No Tax, exclusive,,,,,,,,
033844007881,Badia rainbow sprinkles 680.4g, Household,Tin,40,45,5, No Tax, exclusive,,,,,,,,
33844002732,Badia rainbow sprinkles 85.05g, Household,Tin,10,12,5, No Tax, exclusive,,,,,,,,
033844001070,BADIA RED PEPPER 127.6G, Household,Tin,10,14,5, No Tax, exclusive,,,,,,,,
33844001087,BADIA ROTISSERIE 297.7G, Household,Tin,20,25,5, No Tax, exclusive,,,,,,,,
033844007263,BADIA ROTISSERIE 623.7G, Household,Tin,50,58,5, No Tax, exclusive,,,,,,,,
033844009618,Badia Sazon tropical (793.8g), Household,Tin,45,46,5, No Tax, exclusive,,,,,,,,
033844008390,Badia sea salt (1.13kg), Household,Tin,25,30,5, No Tax, exclusive,,,,,,,,
033844007270,Badia steak seasoning (793.8), Household,Tin,53,54,5, No Tax, exclusive,,,,,,,,
033844005627,Badia thyme leaves 226.8G, Household,Tin,30,31,5, No Tax, exclusive,,,,,,,,
033844001124,Badia white pepper (255.1), Household,Tin,47,48,5, No Tax, exclusive,,,,,,,,
033844002169,BADIA WHITE PEPPER 56.7G, Household,Tin,10,15,5, No Tax, exclusive,,,,,,,,
033844009151,BADIA WHITE VINEGAR 3.78L, Household,Tin,32,33,5, No Tax, exclusive,,,,,,,,
6935611525663,BAKING CUPS 125 PCS, Household,Tin,5,6,5, No Tax, exclusive,,,,,,,,
8076809547819,BARILLA  SPAGHETTI N.5 500G, Household,Tin,11,12,5, No Tax, exclusive,,,,,,,,
8855044006837,BASIL SEED APRICOT, Household,Tin,5,5.5,5, No Tax, exclusive,,,,,,,,
8855044004734,BASIL SEED BLUEBERRY, Household,Tin,5,5.5,5, No Tax, exclusive,,,,,,,,
8855044004796,BASIL SEED COCKTAIL, Household,Tin,5,5.5,5, No Tax, exclusive,,,,,,,,
8855044021779,BASIL SEED LYCHEE, Household,Tin,5,5.5,5, No Tax, exclusive,,,,,,,,
8855044004789,BASIL SEED MANGO, Household,Tin,5,5.5,5, No Tax, exclusive,,,,,,,,
8855044004734,BASIL SEED MELON, Household,Tin,5,5.5,5, No Tax, exclusive,,,,,,,,
8855044006820,BASIL SEED ORANGE, Household,Tin,5,5.5,5, No Tax, exclusive,,,,,,,,
8855044004734,BASIL SEED POMEGRANATE, Household,Tin,5,5.5,5, No Tax, exclusive,,,,,,,,
8855044004789,BASIL SEED STRAWBERRY, Household,Tin,5,5.5,5, No Tax, exclusive,,,,,,,,
8855044021779,BASIL SEED WATERMELON, Household,Tin,5,5.5,5, No Tax, exclusive,,,,,,,,
8855044006837,BASIL SEED WHITE GRAPE, Household,Tin,5,5.5,5, No Tax, exclusive,,,,,,,,
5016064083106,BATH FLUTERS, Household,Tin,6,6.5,5, No Tax, exclusive,,,,,,,,
4018852016083,BEBIVITA TOMATO & HAM PASTA BAKE 220G, Household,Tin,7,8,5, No Tax, exclusive,,,,,,,,
6034000154931,BEEF SAUSAGE, Household,Tin,14,14.5,5, No Tax, exclusive,,,,,,,,
6034000154931,BEFF SAUSAGE, Household,Tin,13,14.5,5, No Tax, exclusive,,,,,,,,
5413508010214,BEGRO GARDEN PEAS FINE 1KG, Household,Tin,18,19,5, No Tax, exclusive,,,,,,,,
5413508020015,BEGRO MACEDOINE MIXED VEG 1KG, Household,Tin,16,17,5, No Tax, exclusive,,,,,,,,
60097,BEL AQUA 1.5 PCS, Household,Tin,2.5,3,5, No Tax, exclusive,,,,,,,,
60071,BEL AQUA 1.5L PCS, Household,Tin,2.5,3,5, No Tax, exclusive,,,,,,,,
6525743785,BEL AQUA 1.5LT BOX, Household,Tin,16,18,5, No Tax, exclusive,,,,,,,,
78342823478124,BEL AQUA 330ML PACK, Household,Tin,8,9,5, No Tax, exclusive,,,,,,,,
345645678,BEL AQUA 500ML BOX, Household,Tin,17,18,5, No Tax, exclusive,,,,,,,,
60047,BEL AQUA 500ML PCS, Household,Tin,1,1.5,5, No Tax, exclusive,,,,,,,,
